Terminology,Definition
Odor Intensity,"Odor intensity is the perceived strength or magnitude of a smell within an environment. it reflects how potent or noticeable an odor is to an individual and is typically evaluated using subjective scales. this measure can be influenced by the concentration of odorants, airflow conditions, humidity, and individual sensitivity."
Operation Time,Operation time refers to the duration for which a pecs or any other thermal comfort or air quality control device remains actively functioning. it is a critical factor in determining the effectiveness of such systems.
Outgoing Heat Flux by Seat Ventilation,It is the heat and moisture extracted from the occupant–seat interface by the seat ventilation system. this outflow helps regulate local temperature and humidity in the contact region.
Overall Thermal Sensation,"This is the integrated, subjective perception of the thermal environment that accounts for the combined sensations from all body regions. it reflects the general feeling of warmth or coldness experienced by an individual, providing an overall index of thermal comfort or discomfort."
Partial Thermal Sensation,"Partial thermal sensation refers to the subjective perception of warmth or coolness in a specific body region rather than the whole body. it is influenced by localized environmental factors, airflow, radiant heat, and contact with surfaces."
Partial-body Cooling,"This involves applying cooling stimuli to only a selected portion of the body rather than the entire body. in practical terms, it means that only a specific area (e.g., the face or hands) receives cooling, which can help alleviate thermal discomfort without altering the thermal state of the whole body."
Partial-body Heating,"This is the targeted application of heat to a specific area of the body, rather than heating the entire body uniformly. in extremely cold environments, partial-body heating is used to improve comfort by warming key body regions that contribute significantly to overall thermal sensation while minimizing the risk of overheating other areas."
Passive Contaminents,"These are substances (such as tracer gases or pollutants) introduced into the airflow that do not participate in chemical reactions or influence the fluid dynamics. they are simply advected and diffused by the airflow, allowing researchers to study contaminant dispersion patterns without the added complexity of reactive behavior."
Perceived Air Quality,"Perceived air quality refers to the overall subjective evaluation of the air within an environment, as experienced by its occupants. this perception is shaped by sensory inputs such as odor, temperature, humidity, and airflow, and may not always align directly with objective measurements of air quality. it reflects how fresh, clean, and comfortable the air feels, influencing overall satisfaction and well-being in indoor spaces."
Perceptual Heat Strain Index,Measures the thermal strain in individuals through the thermal sensation and the borg rating of perceived exertion for physical activity intensity level
Personal Air Utilisation Efficiency (paue),"Personal air utilization efficiency (paue) is a performance metric that quantifies the fraction of the supplied airflow from pecs that is effectively inhaled by an occupant. it represents the system's effectiveness in delivering personalized air directly to the breathing zone while minimizing dispersion and energy losses.
 paue = (vinhaled / vsupplied) * 100 (%)
 ​where:
 vinhaled (l/s or m³/s) = volume flow rate of inhaled personalized air
 vsupplied (l/s or m³/s) = total volume flow rate of personalized air supplied by the system"
Personal Exposure Effectiveness,"Personal exposure effectiveness is a measure of how well a pecs delivers its intended thermal benefits directly to an individual. it reflects the system's ability to overcome the natural thermal boundary (or plume) created by the body so that the cooling or heating effect reaches the targeted area without causing discomfort, such as draft-induced irritation."
Personal Exposure Effectiveness,"A performance metric for personalized ventilation, quantifying how effectively clean or conditioned air is delivered to an occupant’s breathing zone compared to the ambient air distribution. higher values indicate a greater reduction in pollutant or thermal discomfort exposure."
Personal Exposure Effectiveness (pee) Index,"The personal exposure effectiveness (pee) index is a metric used to assess the efficiency of a personalized ventilation (pv) system in delivering clean air directly to an individual's breathing zone while minimizing exposure to ambient pollutants. it quantifies how much of the supplied fresh air is actually inhaled by the user compared to the surrounding environment. a higher pee index indicates more effective air delivery, leading to improved inhaled air quality and reduced exposure to contaminants.
 
 pee = (croom - cbz)/(croom - cpv)*100 (%)
 c room = contaminant concentration in the general room air
 cbz = contaminant concentration in the inhaled air (breathing zone)
 c𝑃𝑉 = contaminant concentration in the supplied personalized ventilation air"
Pollutant Exposure Reduction (per),"An indicator of how much a particular ventilation or air distribution strategy lowers occupant exposure to airborne contaminants. it compares exposure levels with and without the intervention, offering insight into the effectiveness of personalized or localized ventilation solutions."
Predicted Mean Vote (pmv),"Predicted mean vote (pmv) is a thermal comfort index that quantifies the average thermal sensation of a group of people based on environmental and personal factors. it is calculated using air temperature, humidity, mean radiant temperature, air velocity, clothing insulation, and metabolic rate. pmv ranges from -3 (cold) to +3 (hot), with 0 representing neutral comfort, and is widely used in thermal comfort assessments"
Predicted Percentage of Dissatisfied (ppd),Predicted percentage of dissatisfied (ppd) is a thermal comfort index that estimates the percentage of people likely to feel uncomfortable in a given thermal environment. it is derived from the predicted mean vote (pmv) and quantifies discomfort due to thermal deviations from neutrality. ppd ranges from 5% (optimal comfort) to 100% (extreme discomfort)
Predictive Control System,"An advanced control methodology that uses models, forecasting algorithms, or real-time occupant data to anticipate changes in thermal loads or occupant needs. by adjusting hvac or personalized environmental settings proactively, a predictive control system aims to maintain optimal comfort while minimizing energy consumption."
Preferred Temperature,"The occupant’s chosen or desired thermal setpoint, reflecting individual comfort preferences. this temperature is typically identified through subjective feedback or adaptive behavior and can vary based on personal, physiological, or contextual factors."
Personalized Zone,Poz is defined as an area of the occupied zone in a room consisting of the breathing zone and the personal working zone
Proximal Body Temperatures.,"Proximal body temperatures pertain to the temperatures measured on the central parts of the body, such as the torso or upper trunk. these measurements are more stable and reflective of the core body temperature, providing insight into the overall thermal status of the individual. in the context of local cooling, maintaining proximal temperatures within a thermo-neutral range is essential to preserve core thermal balance."
Purging Flow Rate (pfr),"The purging flow rate (pfr) refers to the rate at which air is supplied to a space to remove contaminants. this airflow is intended to displace stale air, ensuring the environment remains fresh by pushing pollutants away from the occupied zone. the effectiveness of the purging process depends on the magnitude of the pfr; a higher pfr results in a more efficient removal of contaminants, thereby enhancing air quality and occupant comfort"
Radiant Asymmetries,"Radiant asymmetries in thermal comfort refer to the unequal heating or cooling effects experienced by a person due to non-uniform radiant temperatures from different directions or sources. this can happen in an environment where one side of a space, such as a wall or window, is significantly colder or warmer than others, causing one side of the body to feel different from the other."
Rate of Perceived Exertion (rpe),"A psychophysical scale used to quantify an individual’s subjective perception of physical effort during activity. in a thermal or indoor environment context, rpe can also capture how environmental stressors (e.g., heat) influence the perceived intensity of exertion."
Real Environment,"The actual, non-uniform thermal setting where multiple heat transfer mechanisms (e.g., conduction, convection, radiation, and moisture evaporation) occur simultaneously across different body parts. in warm conditions, sweat production and evaporation further modulate the occupant’s overall and local thermal balance."
Reinforcement Learning,"Reinforcement learning in control systems involves algorithms that learn to make decisions by interacting with a space or environment. rl controls aim to determine the optimal action to take in a given state to maximize the cumulative reward. in the context of environmental control systems, rl could optimize operations based on user feedback and environmental changes, continually improving system performance."
Re-inhaled Exposure Index,It assesses the proportion of exhaled air that an occupant re-inhales due to interactions between personalized airflow and exhalation jets. a higher index suggests less effective separation of inhaled and exhaled airstreams.
Respiratory Zone,"The respiratory zone refers to the region immediately surrounding an occupant’s breathing area. in the context of the ventilation analysis, it is the space from which occupants inhale air, making it a critical zone for assessing the exposure to contaminants and ensuring adequate fresh air delivery for maintaining indoor air quality."
Response Coefficient of Contaminant Source (rccs),Response coefficient of contaminant source (rccs) quantifies the influence of a pulse-like contaminant release on the concentration observed at any given point. this index describes how variations in the contaminant source intensity translate into local changes in pollutant levels over time.
Response Coefficient of Supply Air (rcsa),"An index that captures the effect of variable contaminant concentrations in the supply air on a particular point within the space. determined by releasing a “pulse” tracer gas at the supply inlet, rcsa quantifies how changes in the supply air concentration are reflected at the target location. a higher response coefficient implies that the supply air has a more pronounced impact on the local contaminant levels."
Resting Energy Expenditure (ree): Metabolic Rate of the Body at Rest,"The metabolic rate of the human body at rest, representing the baseline energy required to sustain essential physiological functions (e.g., respiration, circulation, and cellular processes). ree is typically measured in kilocalories per day or watts and forms the basis for estimating total daily energy needs."
Risk Quotient (rq),"A dimensionless metric for evaluating potential hazards or exposures by comparing the measured or estimated level of a contaminant or stressor to a reference or threshold value. if rq exceeds 1, it suggests a higher likelihood of adverse effects, warranting further investigation or mitigation."
Sensation of Jet,"The immediate physical experience an occupant has when exposed to the cooling jet. this encompasses the tactile perception of the airflow—its speed, temperature difference, and directional impact—on the skin, which can either enhance comfort or lead to discomfort depending on its characteristics."
Single Objective Optimization (soop) Problem,"A single objective optimization problem is an optimization problem that focuses on finding the best solution with respect to one specific objective or performance metric. the goal is to either maximize or minimize an objective function while satisfying any given constraints. this type of problem formulation is commonly used when a single criterion is of primary importance, making it simpler than multi-objective optimization scenarios where trade-offs between multiple criteria must be considered."
Single Segment Models,Single segment models in thermal comfort are basic approaches that approximate the body’s response to thermal environments as a whole without differentiating between the body's various segments. these models typically use overall heat balance and a uniform set of physiological parameters to predict thermal sensation and comfort.
Skin Temperature,"Skin temperature refers to the temperature of the outermost surface of the body, which is instrumental in human thermoregulation and thermal comfort assessments. it varies across different body parts and is influenced by both external environmental conditions (such as temperature, humidity, and airflow) and internal physiological factors (like metabolic rate)."
Skin Wetness,"A subjective or measured indicator of how moist the skin feels due to sweating. high skin wetness often correlates with heat stress or discomfort, while lower values typically indicate more moderate or comfortable thermal conditions."
Sleep Quality,"An assessment of how restful and restorative an individual’s sleep is, determined both subjectively (e.g., self-report questionnaires) and objectively (e.g., eeg-based analysis). environmental factors such as temperature, humidity, and noise can significantly affect sleep quality."
Spatial Alliesthesia,"A form of alliesthesia wherein localized thermal stimuli (e.g., warming or cooling a particular area) counteract the overall body’s thermal state, yielding a pleasant sensation. this targeted approach can provide comfort even if the rest of the body is in a different thermal condition."
Specific Humidity at Contact Area,It is the water vapor content in the air layer (or microclimate) directly at the occupant–seat interface node. this parameter influences latent heat exchange through moisture transfer in the contact area.
Specific Humidity at Skin Surface,"It indicates the water vapor concentration immediately adjacent to or at the skin boundary, driving sweat evaporation and latent heat removal when air moves away or is absorbed by clothing or seating surfaces."
Specific Humidity of Environment,"It is the ambient moisture content of the indoor air. along with temperature, it determines humidity-related comfort and influences sweat evaporation rates."
Standard Effective Temperature (set),"Standard effective temperature (set) is a thermal comfort index that quantifies the perceived temperature by representing a uniform environmental condition equivalent to the actual complex conditions experienced by a human. it incorporates factors like air temperature, humidity, air velocity, radiant temperature, clothing insulation, and metabolic rate, allowing for a comprehensive and standardized assessment of thermal comfort."
Stratum Ventilation (sv),"Stratum ventilation (sv) delivers conditioned air directly to the head level of occupants, creating a horizontal airflow at this level. this approach maintains a small temperature gradient within the occupied zone. by supplying air at elevated temperatures and higher velocities, sv allows for increased indoor air temperatures while still providing thermal comfort, thereby contributing to energy savings."
Supervisory Control,"Supervisory control in pecs is described as a high-level control strategy that oversees and coordinates the operation of lower-level controllers. it monitors key performance indicators such as thermal and visual comfort, dynamically adjusting setpoints and control actions to ensure that the overall system performance meets the desired comfort and efficiency objectives."
Sve1,Sve1 represents the spatial average of contaminant concentration when pollutants are released from a single-point source. it provides an intuitive measure of how effectively the ventilation system dilutes contaminants throughout the indoor environment.
Sve2,"Sve2 quantifies the mean radius of contaminant diffusion, effectively characterizing the expansion range of the contaminant plume. a lower sve2 value indicates a more confined spread, reflecting a more localized contaminant presence."
Sve4,"An index developed to quantify the influence of individual supply air inlets on local air distribution under steady-state conditions. sve4 assesses how each inlet contributes to the ventilation performance at a specific point, thereby helping to optimize inlet placement and airflow patterns in the design of ventilation systems."
Sve5,"Sve5 uses a time-reversed tracing method to evaluate the contribution of individual exhaust openings in removing contaminants. this index captures the effectiveness of each exhaust point in drawing out pollutants, which is critical when multiple exhausts are present."
Target Segments,"Specific body regions intentionally exposed to thermal stimuli (e.g., hands, feet, back, or face) to enhance local and whole-body thermal comfort."
Temperature Drift,"Temperature drift refers to the gradual variation in ambient temperature over time due to environmental fluctuations, hvac system adjustments, or natural heat exchange processes. it impacts thermal comfort and can influence how individuals adapt to changing indoor conditions."
Temporal Alliesthesia,"A form of alliesthesia associated with whole-body thermal changes over time. the pleasure response arises from moving toward a more comfortable thermal state, such as warming up after being cold or cooling down after being hot."
Themal Acceptability,Thermal acceptability refers to the degree to which the thermal conditions provided by a system or environment are deemed comfortable or satisfactory by the occupants. it is a measure that reflects both subjective responses and objective indices of thermal comfort.
Thermal Pleasure / Positive Thermal Alliesthethermal Pleasure / Positive Thermal Alliesthesiasia,The subjective delight or pleasantness experienced when thermal stimuli effectively alleviate discomfort. it reflects the body’s heightened sensitivity to changes in skin temperature and underpins both temporal and spatial forms of alliesthesia.
Thermal Stimuli,"External factors such as heated surfaces, airflow, or cooling devices that influence the thermal state of the whole body."
Thermo-neutral Ambient Condition,"A thermo-neutral ambient condition is defined as an environment where the ambient temperature is set at a level that neither induces a warming nor a cooling response in the human body. this state is characterized by a balance between the body’s heat production and heat loss, resulting in a perception of thermal neutrality."
Thermoregulation Model,"A mathematical representation of the human body's physiological processes that maintain its core temperature within a narrow range, despite varying environmental conditions."
Thermoregulation State Identification Mechanism,"A thermoregulation state identification mechanism is a method or system that monitors and evaluates both physiological and environmental data to classify the current thermal state of an individual (e.g., warm, neutral, or cool). this process typically involves the use of sensors and advanced algorithms (such as fuzzy logic, neural networks, or other ai techniques) to analyze data in real time, enabling dynamic adjustments in environmental controls to achieve or sustain thermal equilibrium and overall comfort."
Thermoregulatory Response,"Thermoregulatory response refers to the body's physiological mechanisms that maintain a stable internal temperature in response to environmental temperature changes. these responses include vasodilation (expanding blood vessels to release heat), vasoconstriction (narrowing blood vessels to retain heat), sweating (to enhance evaporative cooling), and shivering (to generate heat), allowing the body to adapt to thermal variations while preserving comfort and energy balance."
Total Air Age,"An extension of the age of air concept that accounts for both the direct air delivery and the effects of air recirculation within the system. this index provides a comprehensive measure of how long air has been in the space, including contributions from recirculated air, thereby offering a more accurate representation of air freshness in complex ventilation scenarios."
Turbulence Intensity (ti),"Turbulence intensity (ti) is a dimensionless parameter that quantifies the level of velocity fluctuations in a turbulent airflow relative to the mean velocity. it is commonly used in indoor air distribution, ventilation studies, and fluid dynamics to assess airflow stability and its impact on thermal comfort, pollutant dispersion, and ventilation efficiency.
 
 ti= (u' / u) x 100 (%)
 where:
 u'(m/s) = root mean square (rms) of velocity fluctuations
 u (m/s) = mean airflow velocity"
Vasoconstriction,"Vasoconstriction is the physiological process in which blood vessels narrow to reduce blood flow to the skin and extremities, helping to retain body heat and maintain core temperature in cold environments. it is a key thermoregulatory response."
Vasodilatation,"Vasodilatation is the widening of blood vessels to increase blood flow to the skin, promoting heat dissipation and helping to regulate core temperature in warm environments. it is a key thermoregulatory response"
Ventilation Air Volume,"This is the total volume of fresh air supplied to a space over a given period, typically measured in cubic meters per second (or per hour). it is a key parameter in the design and evaluation of ventilation systems, ensuring that sufficient air is delivered to meet both thermal comfort and indoor air quality requirements."
Ventilation Efficiency,"Ventilation efficiency is defined as the relative effectiveness for contaminant removal compared with a fully mixed ventilation system. this index quantifies how well a given ventilation strategy dilutes or extracts contaminants, with values indicating the performance over the entire space or at specific zones relative to the ideal mixing condition."
Ventilation Pecs,"Pecs designed to improve localized air quality, airflow distribution, and/or thermal comfort by delivering conditioned, filtered, or fresh air directly to an occupant's breathing zone"
Pleasantness of Environment,"A broader subjective judgment reflecting how agreeable the overall office environment is. this assessment goes beyond thermal factors to include influences from air quality, acoustics, lighting, and spatial layout, contributing to an environment that is experienced as comfortable and satisfying."
Protection Efficiency,"Protection efficiency refers to the system's ability to shield occupants from environmental factors such as temperature extremes, pollutants, and drafts. pecs can achieve high protection efficiency by delivering conditioned air directly to the occupant's breathing zone, thereby enhancing thermal comfort and air quality."
Vertical Jet Exposure,The condition in which an occupant is exposed to a cooling air jet that is directed vertically (either descending from the ceiling or ascending from the floor). this type of exposure affects the localized thermal sensation experienced by the individual and is evaluated in terms of its influence on both comfort and work performance.
Volumetric Exhaust Flow Rate,"This represents the volume of air removed from a space by the exhaust system per unit time, measured in similar units as the ventilation air volume. it is essential for maintaining proper air exchange, removing contaminants, and balancing the indoor pressure within the space."
Wall Attached Ventilation,"Wall-attached ventilation is a method of air distribution in which conditioned air is directed towards a vertical surface, creating a controlled airflow pattern that moves downwards, then spreads across the floor. this technique combines aspects of both displacement and mixing ventilation, forming a clean air layer at the floor level"
Whole - Body Equivalent Temperature,"Whole-body equivalent temperature is defined as the temperature of an imaginary enclosure where the air temperature and surrounding surface temperatures are uniform, and there is no air movement. in this scenario, a human-shaped sensor or manikin would exchange the same amount of dry heat by radiation and convection as it would in the actual, more complex environment being assessed. this concept is crucial for evaluating thermal comfort in various settings because it simplifies complex, real-world thermal conditions into a single, measurable value that reflects the overall heat exchange of the body​"
Whole-body Discomfort,"The overall experience of thermal strain or dissatisfaction, resulting from an imbalance between local discomforts across different body regions. whole-body discomfort can arise when certain critical body segments (e.g., extremities or the torso) experience excessive warmth or cold, even if other areas remain neutral. persistent whole-body discomfort may drive behavioral or physiological responses, such as clothing adjustments or seeking external heating/cooling sources."
Whole-body Thermal Comfort,"The overall perception of thermal acceptability across the entire body, influenced by the combined effects of local thermal comfort across different body segments. whole-body thermal comfort is achieved when the body experiences a thermal state where no strong discomfort signals arise from any specific region. however, it is not necessarily the sum of individual local thermal comforts, as some body regions have a greater influence than others. a mismatch between local and whole-body comfort can occur when certain areas (e.g., hands or feet) feel too warm or too cold, even if other regions remain neutral."
Whole-body Thermal Sensation,"The subjective perception of overall warmth or coolness, integrating thermal inputs from local sensations across different body segments. whole-body thermal sensation does not always align with whole-body comfort, as an individual may feel slightly warm or cool while still being comfortable. this sensation is typically assessed using standardized thermal scales (e.g., from ""cold"" to ""hot"")."
Whole-body Thermal State,"The physiological and perceptual condition of an individual in response to thermal stimuli, determined by core body temperature, local skin temperatures, and thermoregulatory responses (such as vasodilation, vasoconstriction, sweating, or shivering). the whole-body thermal state is dynamic, continuously adjusting based on environmental conditions, metabolic activity, and behavioral adaptations."
